Fam_ID,Membership,ID,TGLA227_1,TGLA227_2,BM2113_1,BM2113_2,TGLA53_1,TGLA53_2,ETH10_1,ETH10_2,SPS115_1,SPS115_2,TGLA126_1,TGLA126_2,TGLA122_1,TGLA122_2,INRA23_1,INRA23_2,ETH3_1,ETH3_2,ETH225_1,ETH225_2,BM1824_1,BM1824_2
Fam_394,C,Fam_394_C,88.99,97.68,123.23,123.23,158.34,162.39,209.82,213.56,242.01,242.01,117.70,122.02,140.65,147.80,200.74,210.57,113.07,113.07,142.03,146.29,178.02,188.43
Fam_394,M,Fam_394_M,97.71,97.71,123.14,134.78,162.48,182.29,209.87,213.66,242.14,242.14,122.07,122.07,140.49,147.83,199.28,210.72,113.05,113.05,141.85,146.33,182.41,188.62
Fam_395,F,Fam_395_F,88.18,99.16,122.57,124.48,166.20,166.20,210.76,214.45,243.35,254.95,116.57,122.97,162.34,164.48,200.39,204.16,114.09,124.69,145.29,145.29,179.21,189.54
Fam_395,C,Fam_395_C,90.46,98.97,124.68,136.42,160.00,166.15,211.00,216.68,247.28,254.94,116.48,116.48,135.26,164.33,200.44,208.00,114.49,127.19,144.59,146.61,178.94,189.28
Fam_395,M,Fam_395_M,88.20,90.45,124.72,136.43,155.92,160.00,207.21,216.67,243.42,247.25,116.43,116.43,135.27,142.19,205.99,207.99,125.06,127.22,144.59,148.87,178.78,189.25
Fam_396,F,Fam_396_F,88.18,99.16,122.57,124.48,166.20,166.20,210.76,214.45,243.35,254.95,116.57,122.97,162.34,164.48,200.39,204.16,114.09,124.69,145.29,145.29,179.21,189.54
Fam_396,C,Fam_396_C,87.97,98.73,124.48,136.17,165.74,165.74,210.75,218.29,243.18,254.69,118.47,122.66,141.97,164.13,204.03,204.03,124.93,124.93,146.32,146.32,178.66,189.12
Fam_396,M,Fam_396_M,87.85,98.73,124.44,136.04,157.81,165.87,218.32,220.24,243.14,243.14,118.42,118.42,141.83,148.98,203.92,207.74,124.78,126.96,144.01,146.18,178.81,189.16
Fam_397,F,Fam_397_F,88.18,99.16,122.57,124.48,166.20,166.20,210.76,214.45,243.35,254.95,116.57,122.97,162.34,164.48,200.39,204.16,114.09,124.69,145.29,145.29,179.21,189.54
Fam_397,C,Fam_397_C,98.02,98.02,121.59,131.24,159.04,165.08,214.05,215.92,242.52,254.07,118.05,122.27,141.10,161.66,203.36,207.18,124.12,134.44,145.03,145.03,180.56,188.81
Fam_397,M,Fam_397_M,91.68,98.05,131.38,131.38,157.03,159.05,216.04,216.04,242.62,242.62,118.15,118.15,141.18,163.85,207.31,211.21,122.09,134.64,145.14,145.14,180.50,182.68
