Fam_ID,Offspring_ID,Parent_ID,Parent_Type,Total_Checked,Passed,Failed,Match_%,Failed_Markers,Status
Fam_080,Fam_080_C,Fam_080_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_081,Fam_081_C,Fam_081_F,พ่อ (F),11,10,1,90.9%,TGLA122,❌ Mismatch (1)
Fam_081,Fam_081_C,Fam_081_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_082,Fam_082_C,Fam_082_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_082,Fam_082_C,Fam_082_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_083,Fam_083_C,Fam_083_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_083,Fam_083_C,Fam_083_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_084,Fam_084_C,Fam_084_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_084,Fam_084_C,Fam_084_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_085,Fam_085_C,Fam_085_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_085,Fam_085_C,Fam_085_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_086,Fam_086_C,Fam_086_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_086,Fam_086_C,Fam_086_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_087,Fam_087_C,Fam_087_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_087,Fam_087_C,Fam_087_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_088,Fam_088_C,Fam_088_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_088,Fam_088_C,Fam_088_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_089,Fam_089_C,Fam_089_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_089,Fam_089_C,Fam_089_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_090,Fam_090_C,Fam_090_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_090,Fam_090_C,Fam_090_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_091,Fam_091_C,Fam_091_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_091,Fam_091_C,Fam_091_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_092,Fam_092_C,Fam_092_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_092,Fam_092_C,Fam_092_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_093,Fam_093_C,Fam_093_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_093,Fam_093_C,Fam_093_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_094,Fam_094_C,Fam_094_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_094,Fam_094_C,Fam_094_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_095,Fam_095_C,Fam_095_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_095,Fam_095_C,Fam_095_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_096,Fam_096_C,Fam_096_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_096,Fam_096_C,Fam_096_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_097,Fam_097_C,Fam_097_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_097,Fam_097_C,Fam_097_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_098,Fam_098_C,Fam_098_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_098,Fam_098_C,Fam_098_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_099,Fam_099_C,Fam_099_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_099,Fam_099_C,Fam_099_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_100,Fam_100_C,Fam_100_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_100,Fam_100_C,Fam_100_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_101,Fam_101_C,Fam_101_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_101,Fam_101_C,Fam_101_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_102,Fam_102_C,Fam_102_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_102,Fam_102_C,Fam_102_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_103,Fam_103_C,Fam_103_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_103,Fam_103_C,Fam_103_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_104,Fam_104_C,Fam_104_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
